"hour_id","4850303_0_cu_ul_flow_mbyte","4850303_0_ct_ul_flow_mbyte","4850303_0_cu_dl_flow_mbyte","4850303_0_ct_dl_flow_mbyte","4850303_1_cu_ul_flow_mbyte","4850303_1_ct_ul_flow_mbyte","4850303_1_cu_dl_flow_mbyte","4850303_1_ct_dl_flow_mbyte","4850303_2_cu_ul_flow_mbyte","4850303_2_ct_ul_flow_mbyte","4850303_2_cu_dl_flow_mbyte","4850303_2_ct_dl_flow_mbyte","4850319_0_cu_ul_flow_mbyte","4850319_0_ct_ul_flow_mbyte","4850319_0_cu_dl_flow_mbyte","4850319_0_ct_dl_flow_mbyte","4850319_1_cu_ul_flow_mbyte","4850319_1_ct_ul_flow_mbyte","4850319_1_cu_dl_flow_mbyte","4850319_1_ct_dl_flow_mbyte","4850319_2_cu_ul_flow_mbyte","4850319_2_ct_ul_flow_mbyte","4850319_2_cu_dl_flow_mbyte","4850319_2_ct_dl_flow_mbyte","4850319_6_cu_ul_flow_mbyte","4850319_6_ct_ul_flow_mbyte","4850319_6_cu_dl_flow_mbyte","4850319_6_ct_dl_flow_mbyte","4850319_7_cu_ul_flow_mbyte","4850319_7_ct_ul_flow_mbyte","4850319_7_cu_dl_flow_mbyte","4850319_7_ct_dl_flow_mbyte","4850319_8_cu_ul_flow_mbyte","4850319_8_ct_ul_flow_mbyte","4850319_8_cu_dl_flow_mbyte","4850319_8_ct_dl_flow_mbyte","4857676_129_cu_ul_flow_mbyte","4857676_129_ct_ul_flow_mbyte","4857676_129_cu_dl_flow_mbyte","4857676_129_ct_dl_flow_mbyte"
"2023010100","213.62654","169.3521","1450.72834","931.80923","952.79357","568.23049","3744.10683","3765.93238","163.04881","109.74785","1821.03164","1495.41548","162.65635","190.5852","1992.91052","1740.80314","97.6375","64.02474","1187.0916","782.57043","284.75735","69.12783","2753.77319","816.88483","231.07389","218.58229","2587.62116","2340.59506","453.69554","637.7394","4506.46687","3742.73043","624.5315","408.87182","6270.4199","4193.20651","21.09771","32.27491","974.42598","285.79807"
"2023010101","87.77947","142.99875","990.35021","651.28837","596.82686","538.0347","3936.41038","4136.47022","96.27451","96.61252","2093.61929","510.60808","475.21623","135.69876","1877.79353","1467.94106","370.73762","251.00161","3462.71328","1738.12523","188.55088","196.44263","1805.61194","1051.54082","579.7053","137.4234","2171.2876","1477.17715","822.3748","498.62944","3385.66682","3693.21402","1154.10401","530.07265","9036.74692","4440.19076","104.53509","14.81014","89.95336","98.07137"
"2023010102","106.42978","51.67772","1373.64276","550.26734","734.15409","864.59698","5576.00814","3301.54565","223.6358","139.08938","4436.37716","1959.32464","247.2301","106.14601","1528.87398","1922.11976","283.24658","84.87512","2082.92035","1375.92129","187.56663","52.8551","2013.07167","590.37756","276.74828","206.29606","2381.8226","1109.13623","1003.06939","529.59272","3665.70299","3761.88497","1016.03521","535.58617","5179.61792","5223.24907","23.63256","13.20719","534.5869","79.93539"
"2023010103","108.34601","60.62248","1136.75807","375.4963","574.78755","209.608","6309.42715","2532.87063","111.79616","305.34584","523.46743","1393.8163","65.78141","63.55668","538.96184","1147.65592","394.99908","196.13669","1978.88061","1322.94791","107.74843","54.45265","1982.79482","650.7117","221.74963","211.82057","1531.29655","1882.89468","427.83557","701.02508","2621.22897","4177.97869","583.02654","638.43958","5462.39916","5232.68813","5.80162","13.3518","46.90542","173.24613"
"2023010104","154.4131","35.11524","1820.62126","257.5939","590.56048","435.79054","3296.68571","2103.98795","117.07237","187.40892","747.54578","886.14451","64.46776","235.74304","924.94122","874.04867","889.84277","68.76405","1658.07429","1213.21341","218.75434","305.59863","906.38575","1873.76757","498.54638","413.79828","1325.17649","1419.38354","398.23198","839.2199","1633.01043","2544.16422","487.68705","428.83941","4953.4842","4189.0323","0","0.004","0","0.00668"
"2023010105","132.69633","78.46385","604.75688","264.60815","416.05984","334.79956","6079.74896","2898.23906","223.35807","112.34788","856.29615","2324.87648","465.36506","141.92024","1213.90861","580.12468","326.77205","134.68316","1187.77609","2233.9098","453.09502","129.14529","1545.96575","1880.74947","660.42054","182.01515","2685.22439","933.37865","353.11647","352.78851","2681.3652","3515.96878","989.36479","250.88066","11272.97491","3137.12284","1e-05","0","1e-05","0"
"2023010106","172.48564","86.126","645.63524","413.60016","498.24285","357.20441","3371.56792","1851.98649","68.45783","278.12459","753.78496","1513.76979","105.93762","67.87692","714.99457","1505.84485","105.31535","72.49649","1504.84742","1700.08576","55.67222","196.08239","1305.00384","978.01358","226.56306","182.66006","2508.40358","1258.03529","169.32899","964.5465","2215.81025","3524.21352","880.13455","259.6601","10057.18688","3380.13032","0","0","0","0"
"2023010107","48.75676","13.45648","219.59644","125.69817","347.1058","988.95665","3747.79585","2855.97658","123.49251","225.88722","631.20435","2203.61041","99.57607","33.68791","1629.367","651.4645","44.81133","43.16985","1223.9908","1035.63626","23.63982","58.0251","371.11364","860.28663","97.99684","94.95579","2514.23184","1118.46821","243.85985","155.50566","4467.62182","1721.62242","418.09185","599.58116","9857.07585","4489.83868","0","0","0","0"
"2023010108","68.98411","21.61108","759.19605","282.84312","412.34889","698.79381","4446.86993","1577.5886","116.82697","63.26254","871.07246","2157.17793","112.20499","123.11594","1686.82441","269.64269","52.33173","25.32512","1192.90585","2231.69793","24.41961","499.67186","510.21887","1638.27965","77.93525","52.72687","1593.55334","1157.54942","140.65561","191.51228","2896.67356","1010.90668","276.04852","1222.43451","5950.78166","3981.79432","0.00206","0","0.00587","0"
"2023010109","145.71593","5.08567","3090.87855","159.52805","150.98222","74.34665","3518.59629","1103.17186","369.9282","165.79312","364.11012","1088.54783","27.22216","4.08675","757.88126","8.29081","53.43734","27.02474","521.2977","4205.73421","35.95548","617.80784","1201.32611","779.68744","62.59225","125.44993","1191.46594","865.57823","122.15131","94.17694","1777.79393","934.88502","171.5825","782.81055","3154.82738","3649.64535","0","0","0","0"
